epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5013,1.93493,3.86956,1.89387,0.76396,0.1087,0.11769,0.05293,2.24085,3.50353,2.2432,0.00030006,0.00030006,0.00030006
2,33.8948,1.64849,2.36595,1.66126,0.17458,0.29969,0.1087,0.04149,2.2149,10.6405,2.15485,0.000610684,0.000610684,0.000610684
3,45.2704,1.78442,2.33436,1.75835,0.10082,0.36517,0.05533,0.01931,2.59298,12.0086,3.05795,0.000915036,0.000915036,0.000915036
4,64.8871,1.84986,2.31014,1.80925,0.06728,0.18892,0.05494,0.02119,2.46657,8.26424,2.83688,0.00121312,0.00121312,0.00121312
5,77.1512,1.84884,2.23109,1.83822,0.04745,0.23188,0.03825,0.00948,2.66784,40.0904,3.59354,0.00150493,0.00150493,0.00150493
6,91.4832,1.88428,2.23159,1.81989,0.02806,0.09653,0.01054,0.00317,3.06219,31.9372,3.33474,0.00158448,0.00158448,0.00158448
7,104.414,1.79354,2.078,1.75947,0.02069,0.14674,0.01329,0.00475,2.71951,17.3448,3.71784,0.00156798,0.00156798,0.00156798
8,115.822,1.81927,2.02044,1.77218,0.22588,0.12034,0.07171,0.02665,2.67095,16.1973,2.89359,0.00155148,0.00155148,0.00155148
9,127.286,1.78123,1.97372,1.74414,0.17407,0.18763,0.08413,0.03305,2.52559,7.92085,2.69838,0.00153497,0.00153497,0.00153497
10,140.689,1.75743,2.01334,1.72195,0.3802,0.25285,0.24605,0.12262,2.31175,4.52761,2.33191,0.00151847,0.00151847,0.00151847
11,153.265,1.79376,1.91413,1.74175,0.21842,0.22821,0.18302,0.07115,2.23384,2.80107,2.21734,0.00150197,0.00150197,0.00150197
12,165.759,1.73741,2.02067,1.72406,0.33138,0.30383,0.21849,0.08938,2.22058,2.47912,2.15798,0.00148546,0.00148546,0.00148546
13,176.972,1.65281,1.82631,1.68097,0.14236,0.24327,0.0684,0.03257,2.31236,4.35728,2.35348,0.00146896,0.00146896,0.00146896
14,188.044,1.69351,1.8784,1.69288,0.34503,0.24198,0.24972,0.12141,2.13013,3.02778,2.16494,0.00145246,0.00145246,0.00145246
15,199.426,1.66538,1.76775,1.67289,0.46054,0.33078,0.33743,0.15417,2.24205,2.65178,2.28014,0.00143595,0.00143595,0.00143595
16,211.031,1.64343,1.72902,1.63471,0.52067,0.36154,0.36297,0.17336,2.15032,2.47215,2.14473,0.00141945,0.00141945,0.00141945
17,222.544,1.5634,1.65557,1.56712,0.54657,0.32764,0.39561,0.19488,1.92631,2.5933,1.97188,0.00140295,0.00140295,0.00140295
18,233.787,1.60151,1.65168,1.61101,0.69759,0.28882,0.36008,0.19306,1.98695,2.24433,2.01764,0.00138644,0.00138644,0.00138644
19,244.892,1.63858,1.76571,1.6387,0.48671,0.35481,0.36388,0.17643,1.92183,2.3606,2.01001,0.00136994,0.00136994,0.00136994
20,256.17,1.5989,1.64786,1.62586,0.56341,0.37655,0.39398,0.19033,1.9754,2.24834,1.99032,0.00135344,0.00135344,0.00135344
21,267.061,1.57624,1.62867,1.60052,0.4507,0.42417,0.39365,0.1725,1.98108,2.14153,2.0582,0.00133693,0.00133693,0.00133693
22,278.039,1.54343,1.5279,1.56489,0.37018,0.44176,0.37471,0.17623,2.04707,2.02317,2.04106,0.00132043,0.00132043,0.00132043
23,291.353,1.56749,1.5829,1.59584,0.49167,0.44069,0.37387,0.18653,1.97389,2.11775,2.00175,0.00130393,0.00130393,0.00130393
24,305.859,1.50208,1.52903,1.55498,0.45112,0.35818,0.35516,0.16831,1.95957,2.19984,1.98279,0.00128742,0.00128742,0.00128742
25,316.367,1.55987,1.55022,1.58392,0.47718,0.39079,0.41237,0.20651,1.98663,2.03413,1.99184,0.00127092,0.00127092,0.00127092
26,326.278,1.51687,1.58653,1.53287,0.46985,0.55202,0.43895,0.21825,2.00854,2.05764,1.99719,0.00125442,0.00125442,0.00125442
27,335.884,1.49551,1.54975,1.53302,0.45156,0.60093,0.50277,0.22251,1.89555,1.89173,1.89488,0.00123791,0.00123791,0.00123791
28,345.943,1.4792,1.44603,1.52439,0.58253,0.4221,0.4922,0.2341,1.8946,1.96096,1.88454,0.00122141,0.00122141,0.00122141
29,355.957,1.46143,1.36734,1.48107,0.673,0.36154,0.42376,0.22411,1.95195,1.92475,1.90469,0.00120491,0.00120491,0.00120491
30,365.583,1.43108,1.34183,1.49011,0.56399,0.49896,0.50111,0.24261,1.92138,1.96189,1.91768,0.0011884,0.0011884,0.0011884
31,374.888,1.46642,1.43647,1.528,0.53233,0.49689,0.4811,0.25106,1.84412,1.87975,1.83483,0.0011719,0.0011719,0.0011719
32,384.483,1.41846,1.43514,1.49851,0.47075,0.53908,0.49789,0.25183,1.8538,1.89438,1.8767,0.0011554,0.0011554,0.0011554
33,394.028,1.44083,1.41784,1.49296,0.70253,0.35686,0.4586,0.2421,1.91007,2.01035,1.93555,0.00113889,0.00113889,0.00113889
34,403.389,1.39154,1.38321,1.45812,0.58175,0.46765,0.42772,0.22338,1.89061,1.88973,1.90905,0.00112239,0.00112239,0.00112239
35,412.481,1.41547,1.34458,1.46905,0.66604,0.42037,0.48173,0.23637,1.87663,1.9469,1.84319,0.00110589,0.00110589,0.00110589
36,421.938,1.37257,1.27244,1.42973,0.52536,0.54995,0.52469,0.28202,1.84057,1.7821,1.80574,0.00108938,0.00108938,0.00108938
37,431.496,1.38199,1.30718,1.45862,0.59485,0.37448,0.43384,0.22945,1.94489,1.92226,1.87322,0.00107288,0.00107288,0.00107288
38,441.13,1.36245,1.28893,1.42134,0.675,0.53571,0.56157,0.27802,1.90309,1.81257,1.87828,0.00105638,0.00105638,0.00105638
39,450.598,1.33404,1.2938,1.4113,0.56207,0.52768,0.53417,0.28678,1.80049,1.75917,1.79088,0.00103987,0.00103987,0.00103987
40,460.185,1.33052,1.19397,1.39703,0.58909,0.44591,0.4833,0.26476,1.87483,1.8022,1.85021,0.00102337,0.00102337,0.00102337
41,469.599,1.37677,1.22521,1.42024,0.72619,0.33851,0.41945,0.21479,2.02596,1.88565,1.98519,0.00100687,0.00100687,0.00100687
42,478.912,1.35091,1.23357,1.43639,0.66059,0.40272,0.42806,0.25128,1.81125,1.80674,1.77385,0.000990365,0.000990365,0.000990365
43,488.022,1.25386,1.13875,1.36518,0.55809,0.47286,0.47777,0.25287,1.81843,1.71103,1.84476,0.000973861,0.000973861,0.000973861
44,497.127,1.30464,1.20002,1.36629,0.76502,0.41667,0.51039,0.26352,1.84727,1.91589,1.84747,0.000957358,0.000957358,0.000957358
45,506.26,1.30726,1.186,1.37676,0.60885,0.43841,0.52835,0.27195,1.84719,1.78138,1.82964,0.000940855,0.000940855,0.000940855
46,515.582,1.27358,1.12694,1.36738,0.56295,0.54244,0.49516,0.25963,1.81,1.80145,1.84103,0.000924352,0.000924352,0.000924352
47,524.647,1.24909,1.12428,1.35572,0.65702,0.44798,0.4953,0.24933,1.87721,1.85614,1.91266,0.000907848,0.000907848,0.000907848
48,533.694,1.25414,1.15308,1.35964,0.60534,0.52029,0.49757,0.2514,1.90549,1.80628,1.87133,0.000891345,0.000891345,0.000891345
49,542.675,1.22364,1.10788,1.33404,0.63886,0.46429,0.48157,0.24616,1.87223,1.89121,1.84658,0.000874842,0.000874842,0.000874842
50,551.792,1.28079,1.09713,1.36375,0.54518,0.52167,0.49733,0.26832,1.79837,1.77759,1.80516,0.000858338,0.000858338,0.000858338
51,561.013,1.20627,1.0568,1.32234,0.5086,0.53548,0.49257,0.2626,1.81762,1.81288,1.83129,0.000841835,0.000841835,0.000841835
52,570.126,1.2144,1.05233,1.31476,0.48887,0.59096,0.53639,0.27979,1.7551,1.79098,1.76569,0.000825332,0.000825332,0.000825332
53,579.199,1.21695,1.06024,1.33642,0.58234,0.51737,0.52164,0.28573,1.77296,1.70334,1.7669,0.000808828,0.000808828,0.000808828
54,588.25,1.12892,0.96079,1.27546,0.6277,0.56082,0.53149,0.31071,1.84102,1.764,1.85708,0.000792325,0.000792325,0.000792325
55,597.374,1.156,0.96582,1.2939,0.58551,0.55202,0.54517,0.31952,1.89485,1.69775,1.89482,0.000775822,0.000775822,0.000775822
56,606.616,1.18258,1.06032,1.32302,0.56741,0.54995,0.521,0.28747,1.86475,1.81005,1.85653,0.000759318,0.000759318,0.000759318
57,615.804,1.16647,0.95984,1.30229,0.70207,0.53118,0.5587,0.30147,1.81393,1.68521,1.80377,0.000742815,0.000742815,0.000742815
58,625.018,1.16564,1.00428,1.29625,0.6347,0.44798,0.49336,0.27482,1.78869,1.90625,1.76328,0.000726312,0.000726312,0.000726312
59,634.333,1.11819,0.9611,1.26162,0.68019,0.46222,0.50256,0.25982,1.81941,1.73524,1.79782,0.000709809,0.000709809,0.000709809
60,643.326,1.14663,0.95907,1.28627,0.70598,0.47723,0.56701,0.32671,1.77014,1.66027,1.81926,0.000693305,0.000693305,0.000693305
61,652.57,1.13555,0.98979,1.28026,0.74694,0.46972,0.55552,0.32181,1.78217,1.63033,1.80935,0.000676802,0.000676802,0.000676802
62,661.649,1.12173,0.92758,1.26956,0.60995,0.52614,0.54986,0.30021,1.81739,1.69056,1.84012,0.000660299,0.000660299,0.000660299
63,670.739,1.15001,0.93469,1.2972,0.70409,0.54255,0.56066,0.30829,1.8413,1.66261,1.85307,0.000643795,0.000643795,0.000643795
64,679.71,1.1526,0.92942,1.30253,0.6983,0.51527,0.50921,0.29007,1.82351,1.68264,1.85183,0.000627292,0.000627292,0.000627292
65,688.752,1.11009,0.92715,1.25166,0.68488,0.47231,0.50848,0.28586,1.79819,1.7088,1.80857,0.000610789,0.000610789,0.000610789
66,697.859,1.15785,0.94098,1.29502,0.70154,0.53571,0.54787,0.30916,1.79121,1.68383,1.8429,0.000594286,0.000594286,0.000594286
67,706.911,1.12739,0.95266,1.28389,0.67872,0.49353,0.52337,0.2903,1.79863,1.66047,1.84186,0.000577782,0.000577782,0.000577782
68,715.882,1.10424,0.91154,1.26088,0.55536,0.5207,0.51068,0.27734,1.79045,1.69268,1.78638,0.000561279,0.000561279,0.000561279
69,724.758,1.03163,0.88568,1.23803,0.51546,0.46768,0.50765,0.2738,1.74468,1.65099,1.74058,0.000544776,0.000544776,0.000544776
70,733.797,1.04144,0.85341,1.24568,0.64604,0.43999,0.51257,0.28958,1.76543,1.71102,1.77613,0.000528272,0.000528272,0.000528272
71,742.759,1.04953,0.87921,1.22304,0.55913,0.55538,0.53271,0.30073,1.77949,1.76242,1.78257,0.000511769,0.000511769,0.000511769
72,751.888,1.03361,0.82911,1.20314,0.57769,0.50233,0.52157,0.28077,1.83988,1.77281,1.80439,0.000495266,0.000495266,0.000495266
73,760.721,1.05499,0.87496,1.23875,0.53482,0.50983,0.49974,0.2817,1.82824,1.85814,1.78416,0.000478762,0.000478762,0.000478762
74,769.873,1.07131,0.875,1.22405,0.74797,0.59196,0.5971,0.30634,1.83927,1.59594,1.86798,0.000462259,0.000462259,0.000462259
75,778.968,1.01609,0.82569,1.22395,0.64823,0.53157,0.57949,0.32251,1.7512,1.53542,1.77813,0.000445756,0.000445756,0.000445756
76,788.158,0.95082,0.79328,1.16661,0.6961,0.55744,0.59192,0.33882,1.75279,1.48042,1.77766,0.000429253,0.000429253,0.000429253
77,797.127,1.00797,0.81584,1.21683,0.74902,0.58463,0.61425,0.34305,1.72841,1.52618,1.76381,0.000412749,0.000412749,0.000412749
78,806.353,1.03697,0.79706,1.22389,0.77734,0.54658,0.61815,0.34128,1.8034,1.5389,1.8416,0.000396246,0.000396246,0.000396246
79,815.373,0.99121,0.79964,1.19072,0.71992,0.54161,0.59966,0.33626,1.80026,1.62028,1.85769,0.000379743,0.000379743,0.000379743
80,824.373,1.04095,0.80908,1.22387,0.69725,0.60536,0.61966,0.34252,1.73677,1.58051,1.79336,0.000363239,0.000363239,0.000363239
81,833.666,1.00612,0.785,1.19059,0.63367,0.57919,0.57823,0.31724,1.76287,1.56631,1.84228,0.000346736,0.000346736,0.000346736
82,842.688,0.98685,0.74775,1.17388,0.69542,0.50939,0.53709,0.30785,1.75261,1.64096,1.8214,0.000330233,0.000330233,0.000330233
83,851.727,0.96769,0.79965,1.17163,0.65995,0.5309,0.54283,0.31019,1.76233,1.64082,1.8239,0.000313729,0.000313729,0.000313729
84,860.7,0.93581,0.7114,1.17452,0.78035,0.47846,0.56441,0.30673,1.79208,1.64959,1.85588,0.000297226,0.000297226,0.000297226
85,869.832,0.92311,0.71231,1.15967,0.71556,0.56,0.56763,0.30506,1.779,1.62919,1.85188,0.000280723,0.000280723,0.000280723
86,878.829,0.91107,0.72091,1.14882,0.68372,0.55896,0.57331,0.30916,1.77609,1.55098,1.84188,0.00026422,0.00026422,0.00026422
87,887.961,0.88622,0.69861,1.1405,0.75868,0.50983,0.58532,0.32253,1.77419,1.57028,1.86295,0.000247716,0.000247716,0.000247716
88,896.94,0.92435,0.68985,1.15215,0.52945,0.64369,0.57518,0.32143,1.77124,1.58942,1.81424,0.000231213,0.000231213,0.000231213
89,905.993,0.89192,0.72765,1.13697,0.67011,0.49301,0.56304,0.32282,1.78129,1.58479,1.81066,0.00021471,0.00021471,0.00021471
90,915.036,0.93321,0.73271,1.1751,0.75911,0.53364,0.59899,0.3349,1.75533,1.55947,1.8016,0.000198206,0.000198206,0.000198206
91,958.742,0.91674,0.69517,1.14736,0.67945,0.55538,0.58184,0.32565,1.76279,1.59241,1.8259,0.000181703,0.000181703,0.000181703
92,967.883,0.85256,0.65381,1.0891,0.66744,0.54451,0.58867,0.32413,1.78005,1.50852,1.83106,0.0001652,0.0001652,0.0001652
93,976.814,0.86203,0.63589,1.12365,0.68905,0.59159,0.5927,0.32283,1.76639,1.50369,1.79989,0.000148696,0.000148696,0.000148696
94,985.833,0.85008,0.62473,1.10889,0.74736,0.59757,0.59137,0.32709,1.76228,1.48334,1.78545,0.000132193,0.000132193,0.000132193
95,994.881,0.81672,0.59377,1.0946,0.70851,0.54451,0.57713,0.32288,1.79397,1.53317,1.82271,0.00011569,0.00011569,0.00011569
96,1003.92,0.81266,0.57969,1.0978,0.66624,0.52614,0.55868,0.31402,1.80351,1.54898,1.84002,9.91865e-05,9.91865e-05,9.91865e-05
97,1012.9,0.83471,0.63366,1.1224,0.6541,0.52231,0.55371,0.31564,1.80272,1.57321,1.86425,8.26832e-05,8.26832e-05,8.26832e-05
98,1021.77,0.80847,0.58317,1.08535,0.73723,0.473,0.55608,0.32028,1.7779,1.52478,1.84734,6.61799e-05,6.61799e-05,6.61799e-05
99,1030.84,0.78567,0.5661,1.08859,0.77891,0.473,0.5548,0.32243,1.7557,1.51128,1.83648,4.96766e-05,4.96766e-05,4.96766e-05
100,1039.74,0.77882,0.56575,1.06559,0.79348,0.49642,0.56336,0.32704,1.74695,1.50917,1.82988,3.31733e-05,3.31733e-05,3.31733e-05
